Predicted Value,True Value
28,28
25,28
28,28
28,28
32,28
28,28
28,28
19,28
19,28
28,28
28,28
28,28
27,28
27,28
28,28
28,28
28,28
29,28
28,28
28,28
22,28
28,28
29,28
28,28
29,28
28,28
26,28
20,28
17,28
28,28
25,28
27,28
28,28
28,28
30,28
27,28
26,28
28,28
23,28
28,28
28,28
27,28
28,28
29,28
28,28
29,28
28,28
28,28
29,28
15,28
27,28
22,28
28,28
31,28
25,28
28,28
28,28
23,28
28,28
29,28
28,28
9,28
24,28
29,28
28,28
28,28
28,28
22,28
28,28
27,28
33,28
27,28
24,28
28,28
31,28
28,28
27,28
28,28
24,28
29,28
28,28
32,28
28,28
28,28
30,28
21,28
28,28
27,28
29,28
28,28
29,28
28,28
27,28
29,28
24,28
27,28
11,28
27,28
28,28
28,28
26,28
29,28
28,28
18,28
27,28
30,28
31,28
30,28
28,28
29,28
27,28
28,28
23,28
28,28
24,28
24,28
28,28
28,28
28,28
15,28
25,28
25,28
14,28
28,28
24,28
27,28
26,28
15,28
27,28
26,28
27,28
27,28
20,28
28,28
26,28
26,28
28,28
28,28
29,28
28,28
30,28
30,28
27,28
30,28
26,28
18,28
29,28
29,28
28,28
27,28
29,28
28,28
17,28
28,28
29,28
18,28
28,28
28,28
28,28
28,28
26,28
25,28
27,28
27,28
27,28
30,28
31,28
27,28
28,28
21,28
29,28
31,28
28,28
27,28
16,28
25,28
28,28
23,28
24,28
29,28
26,28
16,28
28,28
28,28
28,28
28,28
25,28
28,28
25,28
24,28
24,28
21,28
12,28
30,28
28,28
27,28
25,28
28,28
23,28
29,28
28,28
28,28
28,28
28,28
27,28
28,28
28,28
29,28
28,28
28,28
25,28
28,28
29,28
28,28
24,28
28,28
27,28
27,28
24,28
27,28
28,28
28,28
24,28
16,28
29,28
28,28
28,28
28,28
24,28
32,28
28,28
30,28
24,28
18,28
26,28
26,28
28,28
28,28
28,28
14,28
28,28
28,28
28,28
28,28
30,28
24,28
25,28
28,28
23,28
28,28
26,28
25,28
16,28
31,28
28,28
19,28
28,28
28,28
29,28
28,28
29,28
28,28
13,28
28,28
26,28
28,28
28,28
28,28
28,28
28,28
28,28
21,28
28,28
26,28
26,28
28,28
28,28
11,28
9,28
28,28
28,28
28,28
28,28
18,28
25,28
28,28
27,28
22,28
25,28
22,28
30,28
28,28
28,28
27,28
28,28
28,28
28,28
22,28
27,28
28,28
12,28
28,28
28,28
29,28
30,28
28,28
28,28
17,28
23,28
30,28
20,28
21,28
28,28
17,28
28,28
28,28
28,28
27,28
28,28
28,28
28,28
28,28
28,28
28,28
28,28
21,28
28,28
28,28
25,28
28,28
28,28
28,28
28,28
32,32
32,32
28,32
32,32
31,32
17,32
30,32
32,32
33,32
16,32
31,32
32,32
32,32
32,32
32,32
27,32
31,32
32,32
25,32
32,32
33,32
31,32
33,32
32,32
28,32
32,32
30,32
32,32
32,32
32,32
32,32
31,32
32,32
32,32
29,32
32,32
25,32
32,32
30,32
32,32
32,32
20,32
32,32
29,32
31,32
33,32
32,32
25,32
30,32
29,32
33,32
31,32
32,32
18,32
32,32
31,32
31,32
31,32
32,32
31,32
32,32
32,32
32,32
32,32
32,32
32,32
31,32
32,32
32,32
31,32
33,32
31,32
29,32
16,32
30,32
32,32
32,32
32,32
32,32
31,32
32,32
32,32
11,32
30,32
21,32
17,32
32,32
31,32
28,32
25,32
28,32
32,32
31,32
31,32
32,32
31,32
32,32
31,32
31,32
33,32
32,32
28,32
32,32
26,32
33,32
32,32
32,32
32,32
30,32
32,32
32,32
32,32
23,32
32,32
32,32
32,32
32,32
32,32
33,32
32,32
32,32
32,32
32,32
30,32
32,32
31,32
32,32
30,32
29,32
17,32
26,32
23,32
32,32
28,32
27,32
31,32
32,32
21,32
28,32
32,32
32,32
30,32
24,32
21,32
20,32
32,32
31,32
31,32
32,32
32,32
30,32
30,32
32,32
33,32
32,32
32,32
29,32
33,32
24,32
32,32
33,32
27,32
32,32
24,32
32,32
33,32
32,32
32,32
31,32
29,32
33,32
32,32
32,32
8,32
31,32
31,32
31,32
32,32
31,32
32,32
32,32
31,32
32,32
32,32
33,32
32,32
31,32
32,32
32,32
23,32
24,32
32,32
32,32
32,32
29,32
11,32
32,32
31,32
31,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
30,32
32,32
32,32
32,32
32,32
31,32
32,32
29,32
31,32
32,32
32,32
30,32
24,32
31,32
32,32
32,32
32,32
30,32
31,32
30,32
31,32
32,32
32,32
30,32
32,32
31,32
32,32
31,32
32,32
32,32
22,32
32,32
32,32
31,32
32,32
32,32
17,23
23,23
23,23
21,23
23,23
25,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
24,23
22,23
23,23
28,23
23,23
23,23
18,23
23,23
22,23
23,23
28,23
23,23
23,23
22,23
25,23
23,23
28,23
23,23
25,23
16,23
20,23
22,23
23,23
23,23
21,23
22,23
16,23
23,23
23,23
23,23
23,23
21,23
23,23
9,23
28,23
23,23
23,23
24,23
23,23
22,23
17,23
23,23
20,23
24,23
15,23
23,23
23,23
25,23
23,23
23,23
24,23
21,23
19,23
22,23
22,23
17,23
22,23
24,23
23,23
23,23
17,23
23,23
18,23
23,23
23,23
26,23
22,23
22,23
23,23
23,23
22,23
22,23
23,23
21,23
23,23
16,23
24,23
25,23
24,23
22,23
23,23
23,23
23,23
24,23
23,23
14,23
27,23
22,23
26,23
24,23
23,23
23,23
21,23
18,23
23,23
23,23
30,23
22,23
23,23
23,23
13,23
23,23
20,23
20,23
20,23
22,23
23,23
24,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
22,23
16,23
23,23
23,23
23,23
22,23
22,23
23,23
22,23
23,23
14,23
22,23
13,23
23,23
32,23
23,23
25,23
23,23
24,23
23,23
22,23
25,23
23,23
18,23
21,23
23,23
23,23
23,23
25,23
24,23
25,23
22,23
23,23
21,23
24,23
23,23
23,23
25,23
23,23
23,23
22,23
23,23
26,23
22,23
23,23
11,23
23,23
23,23
23,23
23,23
32,23
23,23
22,23
22,23
23,23
23,23
23,23
23,23
23,23
21,23
23,23
22,23
23,23
22,23
22,23
12,23
23,23
17,23
23,23
23,23
18,23
23,23
23,23
23,23
13,23
22,23
20,23
18,23
20,23
17,23
23,23
23,23
21,23
24,23
23,23
23,23
18,23
22,23
25,23
19,23
23,23
22,23
24,23
22,23
26,23
22,23
22,23
26,23
22,23
24,23
23,23
23,23
22,23
23,23
13,23
25,23
21,23
18,18
19,18
18,18
13,18
18,18
16,18
18,18
18,18
17,18
20,18
18,18
18,18
17,18
21,18
15,18
17,18
23,18
17,18
18,18
16,18
18,18
18,18
19,18
18,18
27,18
18,18
18,18
17,18
22,18
20,18
15,18
19,18
19,18
18,18
15,18
18,18
20,18
17,18
21,18
18,18
18,18
13,18
21,18
18,18
16,18
17,18
12,18
18,18
17,18
18,18
17,18
14,18
18,18
18,18
17,18
17,18
23,18
18,18
18,18
18,18
18,18
20,18
16,18
13,18
15,18
14,18
18,18
18,18
18,18
15,18
17,18
18,18
15,18
19,18
14,18
18,18
23,18
18,18
21,18
11,18
27,18
18,18
16,18
18,18
19,18
16,18
18,18
15,18
18,18
15,18
16,18
21,18
18,18
21,18
13,18
18,18
18,18
21,18
8,18
20,18
19,18
18,18
18,18
13,18
10,18
17,18
20,18
18,18
18,18
25,18
18,18
15,18
16,18
24,18
18,18
16,18
21,18
18,18
19,18
13,18
18,18
17,18
18,18
15,18
21,18
17,18
16,18
18,18
17,18
13,18
17,18
18,18
18,18
14,18
18,18
18,18
17,18
14,18
18,18
16,18
18,18
15,18
17,18
13,18
21,18
19,18
18,18
8,18
18,18
18,18
23,18
13,18
15,18
18,18
8,18
18,18
23,18
18,18
18,18
17,18
17,18
2,18
18,18
18,18
21,18
18,18
22,18
25,18
18,18
18,18
18,18
16,18
18,18
18,18
24,18
18,18
18,18
16,18
16,18
18,18
18,18
14,18
23,18
13,18
18,18
22,18
14,18
18,18
18,18
18,18
19,18
18,18
18,18
0,18
31,18
21,18
18,18
18,18
22,18
17,18
22,18
21,18
11,18
19,18
18,18
18,18
18,18
12,18
