Predicted Value,True Value
30,28
30,28
27,28
28,28
32,28
27,28
30,28
22,28
20,28
22,28
27,28
31,28
27,28
26,28
25,28
29,28
32,28
28,28
27,28
28,28
24,28
27,28
29,28
29,28
30,28
26,28
24,28
18,28
23,28
29,28
25,28
28,28
27,28
28,28
29,28
24,28
26,28
29,28
26,28
30,28
29,28
29,28
28,28
29,28
33,28
26,28
29,28
30,28
27,28
18,28
28,28
26,28
31,28
32,28
26,28
27,28
28,28
27,28
18,28
30,28
28,28
11,28
26,28
28,28
29,28
25,28
29,28
23,28
29,28
28,28
32,28
27,28
29,28
27,28
31,28
28,28
22,28
30,28
21,28
29,28
29,28
30,28
28,28
29,28
31,28
20,28
29,28
29,28
27,28
24,28
24,28
26,28
31,28
29,28
22,28
29,28
25,28
29,28
27,28
28,28
25,28
23,28
28,28
26,28
26,28
31,28
33,28
24,28
28,28
31,28
19,28
28,28
24,28
28,28
24,28
26,28
28,28
29,28
29,28
22,28
26,28
30,28
16,28
25,28
21,28
28,28
28,28
19,28
23,28
22,28
20,28
30,28
24,28
30,28
29,28
28,28
31,28
28,28
31,28
27,28
30,28
30,28
27,28
32,28
27,28
20,28
28,28
30,28
28,28
23,28
18,28
28,28
20,28
27,28
29,28
25,28
29,28
26,28
31,28
29,28
26,28
28,28
29,28
27,28
30,28
25,28
31,28
24,28
27,28
20,28
31,28
30,28
28,28
28,28
24,28
28,28
30,28
25,28
26,28
28,28
30,28
20,28
25,28
29,28
28,28
28,28
30,28
28,28
23,28
25,28
25,28
27,28
24,28
29,28
24,28
29,28
25,28
30,28
30,28
28,28
28,28
29,28
30,28
30,28
30,28
29,28
26,28
30,28
28,28
30,28
29,28
25,28
30,28
29,28
24,28
25,28
29,28
25,28
22,28
25,28
29,28
30,28
24,28
25,28
28,28
29,28
24,28
26,28
25,28
31,28
29,28
28,28
25,28
18,28
26,28
27,28
24,28
26,28
30,28
17,28
30,28
30,28
27,28
23,28
31,28
24,28
27,28
29,28
27,28
30,28
25,28
29,28
17,28
31,28
29,28
21,28
29,28
26,28
26,28
32,28
30,28
29,28
13,28
26,28
28,28
31,28
27,28
27,28
31,28
27,28
26,28
21,28
28,28
30,28
32,28
24,28
28,28
13,28
14,28
30,28
28,28
29,28
27,28
19,28
28,28
29,28
27,28
27,28
27,28
23,28
30,28
28,28
29,28
27,28
27,28
26,28
30,28
25,28
29,28
28,28
17,28
31,28
29,28
27,28
27,28
25,28
23,28
15,28
24,28
30,28
19,28
24,28
26,28
18,28
24,28
29,28
21,28
