Predicted Value,True Value
28,28
24,28
29,28
29,28
30,28
29,28
30,28
16,28
17,28
22,28
28,28
31,28
25,28
26,28
27,28
26,28
31,28
29,28
25,28
29,28
22,28
27,28
25,28
28,28
30,28
28,28
25,28
18,28
21,28
25,28
28,28
28,28
28,28
28,28
30,28
22,28
27,28
28,28
22,28
28,28
26,28
27,28
32,28
25,28
30,28
32,28
30,28
29,28
28,28
22,28
26,28
24,28
29,28
32,28
25,28
27,28
28,28
27,28
19,28
28,28
26,28
10,28
27,28
29,28
29,28
27,28
26,28
23,28
30,28
28,28
25,28
29,28
27,28
30,28
31,28
28,28
19,28
27,28
18,28
27,28
31,28
31,28
26,28
29,28
30,28
22,28
27,28
23,28
29,28
23,28
27,28
13,28
26,28
27,28
28,28
29,28
22,28
30,28
29,28
28,28
25,28
20,28
28,28
17,28
21,28
32,28
33,28
27,28
29,28
31,28
21,28
25,28
24,28
29,28
18,28
25,28
29,28
29,28
31,28
20,28
22,28
27,28
15,28
28,28
14,28
27,28
28,28
15,28
26,28
25,28
28,28
30,28
19,28
29,28
27,28
28,28
29,28
28,28
31,28
27,28
31,28
30,28
26,28
29,28
26,28
18,28
25,28
31,28
28,28
23,28
18,28
28,28
17,28
25,28
28,28
20,28
28,28
27,28
31,28
29,28
22,28
23,28
30,28
28,28
28,28
25,28
32,28
26,28
23,28
27,28
26,28
30,28
27,28
29,28
20,28
24,28
30,28
18,28
25,28
30,28
25,28
16,28
27,28
28,28
27,28
28,28
26,28
29,28
26,28
26,28
22,28
25,28
26,28
32,28
26,28
27,28
25,28
30,28
28,28
28,28
24,28
28,28
30,28
28,28
30,28
28,28
28,28
29,28
28,28
29,28
25,28
28,28
31,28
29,28
21,28
26,28
28,28
26,28
24,28
24,28
27,28
28,28
24,28
21,28
28,28
27,28
12,28
28,28
25,28
31,28
25,28
32,28
24,28
20,28
24,28
30,28
25,28
29,28
30,28
15,28
33,28
29,28
26,28
26,28
28,28
24,28
27,28
27,28
22,28
28,28
26,28
21,28
15,28
31,28
24,28
16,28
28,28
26,28
28,28
27,28
26,28
29,28
13,28
28,28
27,28
28,28
28,28
28,28
26,28
28,28
28,28
21,28
28,28
31,28
31,28
29,28
29,28
17,28
17,28
25,28
28,28
29,28
27,28
16,28
28,28
30,28
28,28
31,28
24,28
22,28
30,28
26,28
28,28
24,28
30,28
29,28
30,28
23,28
21,28
29,28
16,28
32,28
27,28
29,28
27,28
29,28
30,28
18,28
24,28
28,28
27,28
17,28
29,28
16,28
24,28
26,28
28,28
30,28
29,28
29,28
28,28
30,28
29,28
27,28
28,28
18,28
28,28
27,28
24,28
27,28
26,28
29,28
28,28
32,32
32,32
32,32
33,32
31,32
25,32
29,32
33,32
32,32
21,32
33,32
30,32
33,32
32,32
32,32
30,32
27,32
32,32
26,32
33,32
32,32
29,32
26,32
32,32
28,32
31,32
33,32
33,32
32,32
32,32
33,32
32,32
32,32
32,32
31,32
33,32
23,32
30,32
31,32
31,32
32,32
27,32
33,32
31,32
31,32
34,32
33,32
28,32
30,32
29,32
32,32
32,32
30,32
24,32
34,32
30,32
30,32
30,32
30,32
25,32
32,32
27,32
33,32
33,32
32,32
32,32
32,32
30,32
33,32
33,32
32,32
32,32
30,32
26,32
28,32
29,32
32,32
34,32
32,32
31,32
33,32
32,32
8,32
28,32
17,32
20,32
31,32
30,32
28,32
30,32
28,32
31,32
28,32
30,32
33,32
32,32
32,32
31,32
23,32
31,32
24,32
33,32
32,32
32,32
34,32
33,32
33,32
32,32
32,32
33,32
28,32
32,32
31,32
33,32
32,32
31,32
34,32
33,32
32,32
31,32
31,32
32,32
34,32
29,32
33,32
25,32
32,32
31,32
31,32
28,32
25,32
31,32
33,32
29,32
27,32
31,32
32,32
27,32
27,32
33,32
31,32
28,32
30,32
23,32
25,32
29,32
30,32
33,32
28,32
32,32
29,32
31,32
33,32
33,32
33,32
32,32
29,32
33,32
30,32
33,32
31,32
28,32
30,32
28,32
30,32
33,32
32,32
32,32
33,32
27,32
31,32
32,32
30,32
26,32
31,32
31,32
31,32
33,32
32,32
33,32
33,32
33,32
33,32
32,32
32,32
32,32
32,32
32,32
33,32
26,32
30,32
30,32
33,32
31,32
30,32
12,32
31,32
32,32
31,32
33,32
32,32
24,32
32,32
33,32
32,32
33,32
30,32
32,32
32,32
33,32
33,32
33,32
32,32
29,32
32,32
34,32
29,32
24,32
25,32
30,32
32,32
20,32
32,32
31,32
29,32
33,32
31,32
31,32
33,32
32,32
32,32
29,32
33,32
28,32
33,32
29,32
27,32
32,32
32,32
29,32
31,32
32,32
17,23
24,23
23,23
23,23
22,23
25,23
22,23
23,23
23,23
25,23
23,23
22,23
25,23
23,23
19,23
14,23
24,23
24,23
21,23
23,23
17,23
23,23
23,23
25,23
28,23
22,23
23,23
27,23
24,23
24,23
26,23
24,23
27,23
17,23
19,23
20,23
26,23
22,23
19,23
20,23
18,23
23,23
21,23
23,23
24,23
23,23
24,23
12,23
30,23
23,23
15,23
27,23
22,23
22,23
18,23
22,23
21,23
23,23
15,23
24,23
24,23
29,23
23,23
24,23
25,23
22,23
18,23
23,23
23,23
19,23
22,23
27,23
23,23
25,23
20,23
26,23
21,23
23,23
22,23
24,23
23,23
19,23
18,23
24,23
23,23
19,23
22,23
21,23
21,23
18,23
24,23
25,23
26,23
25,23
23,23
22,23
24,23
21,23
22,23
19,23
27,23
22,23
24,23
22,23
26,23
23,23
20,23
15,23
24,23
25,23
23,23
24,23
19,23
25,23
16,23
24,23
17,23
13,23
23,23
23,23
23,23
25,23
23,23
23,23
25,23
23,23
23,23
24,23
24,23
20,23
21,23
19,23
23,23
23,23
24,23
20,23
22,23
24,23
21,23
20,23
12,23
23,23
15,23
19,23
33,23
23,23
22,23
25,23
28,23
22,23
20,23
22,23
16,23
18,23
12,23
23,23
24,23
23,23
26,23
26,23
24,23
22,23
23,23
21,23
24,23
23,23
18,23
21,23
23,23
23,23
24,23
24,23
25,23
21,23
22,23
17,23
23,23
26,23
21,23
25,23
25,23
23,23
24,23
23,23
17,23
23,23
28,23
23,23
23,23
21,23
23,23
22,23
21,23
18,23
21,23
11,23
24,23
18,23
21,23
23,23
20,23
23,23
23,23
23,23
12,23
22,23
20,23
16,23
18,23
27,23
21,23
23,23
23,23
24,23
21,23
22,23
14,23
20,23
23,23
24,23
23,23
19,23
24,23
17,23
27,23
22,23
26,23
26,23
16,23
29,23
23,23
29,23
21,23
19,23
27,23
22,23
22,23
16,18
24,18
19,18
16,18
21,18
15,18
22,18
18,18
12,18
18,18
18,18
17,18
16,18
29,18
22,18
21,18
24,18
17,18
16,18
16,18
16,18
18,18
20,18
14,18
25,18
17,18
21,18
17,18
22,18
21,18
17,18
20,18
18,18
28,18
14,18
18,18
20,18
19,18
21,18
20,18
18,18
18,18
22,18
19,18
15,18
16,18
15,18
17,18
16,18
20,18
17,18
10,18
17,18
18,18
17,18
17,18
23,18
23,18
16,18
17,18
21,18
16,18
15,18
12,18
21,18
17,18
22,18
18,18
18,18
16,18
14,18
19,18
17,18
17,18
15,18
17,18
23,18
15,18
23,18
10,18
28,18
21,18
12,18
19,18
20,18
20,18
20,18
12,18
18,18
18,18
14,18
18,18
19,18
21,18
16,18
18,18
17,18
21,18
12,18
18,18
31,18
18,18
16,18
18,18
14,18
16,18
18,18
20,18
19,18
18,18
17,18
16,18
15,18
21,18
20,18
16,18
21,18
19,18
17,18
13,18
18,18
24,18
19,18
16,18
24,18
21,18
16,18
17,18
17,18
14,18
18,18
13,18
18,18
15,18
19,18
20,18
18,18
15,18
15,18
19,18
16,18
17,18
18,18
12,18
18,18
15,18
21,18
9,18
22,18
16,18
18,18
25,18
16,18
18,18
21,18
20,18
16,18
21,18
18,18
17,18
17,18
18,18
18,18
19,18
