Predicted Value,True Value
28,28
24,28
27,28
28,28
32,28
28,28
28,28
19,28
18,28
27,28
28,28
28,28
28,28
28,28
28,28
28,28
29,28
28,28
27,28
27,28
20,28
28,28
22,28
28,28
30,28
28,28
22,28
23,28
24,28
28,28
28,28
27,28
28,28
28,28
29,28
28,28
27,28
28,28
24,28
28,28
28,28
27,28
32,28
29,28
28,28
27,28
28,28
28,28
28,28
20,28
26,28
24,28
28,28
31,28
29,28
28,28
28,28
26,28
27,28
29,28
28,28
11,28
25,28
27,28
28,28
28,28
28,28
23,28
28,28
28,28
32,28
25,28
24,28
28,28
31,28
28,28
29,28
31,28
20,28
23,28
28,28
23,28
26,28
28,28
29,28
21,28
28,28
27,28
29,28
28,28
29,28
15,28
28,28
28,28
25,28
28,28
21,28
28,28
28,28
28,28
25,28
24,28
28,28
17,28
28,28
31,28
33,28
31,28
28,28
28,28
28,28
28,28
28,28
28,28
26,28
24,28
29,28
28,28
28,28
18,28
26,28
24,28
14,28
28,28
21,28
27,28
26,28
13,28
28,28
22,28
21,28
27,28
24,28
28,28
27,28
26,28
28,28
28,28
29,28
28,28
30,28
29,28
28,28
29,28
26,28
18,28
27,28
29,28
28,28
20,28
22,28
28,28
19,28
29,28
28,28
19,28
28,28
28,28
28,28
28,28
26,28
26,28
27,28
27,28
28,28
30,28
32,28
26,28
28,28
28,28
31,28
28,28
28,28
25,28
27,28
28,28
28,28
17,28
24,28
30,28
26,28
15,28
27,28
28,28
28,28
28,28
28,28
28,28
25,28
25,28
28,28
28,28
24,28
30,28
25,28
28,28
27,28
28,28
27,28
28,28
28,28
28,28
28,28
28,28
27,28
28,28
28,28
28,28
28,28
29,28
32,28
28,28
28,28
28,28
23,28
28,28
28,28
28,28
23,28
27,28
28,28
28,28
21,28
15,28
28,28
28,28
25,28
28,28
27,28
29,28
28,28
28,28
25,28
20,28
26,28
26,28
28,28
28,28
28,28
17,28
28,28
28,28
28,28
28,28
31,28
22,28
27,28
28,28
22,28
28,28
25,28
25,28
15,28
31,28
28,28
20,28
28,28
26,28
26,28
27,28
28,28
28,28
8,28
28,28
28,28
28,28
28,28
28,28
29,28
28,28
28,28
28,28
28,28
32,28
27,28
28,28
28,28
21,28
15,28
27,28
28,28
28,28
28,28
18,28
28,28
28,28
24,28
23,28
22,28
22,28
30,28
28,28
28,28
25,28
28,28
28,28
24,28
20,28
27,28
28,28
15,28
28,28
28,28
28,28
31,28
28,28
29,28
22,28
24,28
28,28
17,28
15,28
28,28
15,28
28,28
28,28
27,28
27,28
28,28
28,28
27,28
28,28
28,28
28,28
28,28
17,28
28,28
28,28
22,28
28,28
28,28
28,28
29,28
32,32
32,32
29,32
32,32
31,32
17,32
32,32
32,32
32,32
17,32
32,32
32,32
32,32
32,32
32,32
31,32
32,32
32,32
25,32
32,32
33,32
31,32
32,32
32,32
28,32
32,32
31,32
31,32
32,32
32,32
32,32
32,32
32,32
32,32
21,32
32,32
22,32
32,32
32,32
32,32
32,32
30,32
32,32
31,32
31,32
32,32
32,32
30,32
22,32
28,32
33,32
32,32
32,32
24,32
32,32
30,32
31,32
31,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
31,32
33,32
32,32
27,32
18,32
30,32
32,32
32,32
32,32
32,32
29,32
32,32
32,32
11,32
23,32
24,32
23,32
32,32
31,32
28,32
26,32
28,32
32,32
32,32
31,32
32,32
32,32
32,32
32,32
30,32
32,32
33,32
30,32
32,32
30,32
33,32
32,32
32,32
32,32
30,32
32,32
31,32
32,32
32,32
32,32
32,32
32,32
31,32
32,32
32,32
32,32
32,32
32,32
32,32
31,32
32,32
32,32
32,32
28,32
26,32
31,32
21,32
31,32
32,32
27,32
27,32
32,32
32,32
30,32
28,32
32,32
32,32
31,32
32,32
30,32
20,32
32,32
32,32
32,32
32,32
32,32
32,32
31,32
32,32
33,32
32,32
32,32
31,32
32,32
32,32
32,32
32,32
31,32
32,32
28,32
32,32
32,32
32,32
32,32
32,32
28,32
32,32
32,32
32,32
27,32
31,32
31,32
31,32
32,32
31,32
32,32
32,32
31,32
32,32
32,32
32,32
32,32
31,32
32,32
32,32
26,32
23,32
32,32
32,32
32,32
29,32
12,32
31,32
32,32
31,32
32,32
32,32
31,32
32,32
32,32
32,32
32,32
32,32
31,32
32,32
32,32
32,32
31,32
32,32
30,32
31,32
32,32
32,32
31,32
24,32
29,32
32,32
32,32
32,32
32,32
31,32
31,32
32,32
32,32
32,32
32,32
32,32
31,32
32,32
29,32
33,32
32,32
23,32
32,32
32,32
29,32
32,32
32,32
17,23
23,23
23,23
23,23
23,23
25,23
23,23
23,23
23,23
23,23
23,23
23,23
24,23
23,23
23,23
21,23
23,23
31,23
23,23
23,23
17,23
23,23
23,23
23,23
24,23
23,23
23,23
23,23
23,23
23,23
24,23
24,23
26,23
21,23
17,23
22,23
24,23
22,23
22,23
23,23
17,23
23,23
23,23
23,23
23,23
21,23
23,23
9,23
25,23
23,23
22,23
23,23
23,23
24,23
19,23
23,23
23,23
25,23
15,23
24,23
23,23
24,23
23,23
23,23
24,23
22,23
23,23
22,23
22,23
23,23
23,23
25,23
23,23
23,23
18,23
23,23
17,23
23,23
23,23
24,23
21,23
21,23
24,23
23,23
23,23
22,23
23,23
22,23
23,23
15,23
21,23
24,23
24,23
22,23
23,23
23,23
23,23
25,23
23,23
14,23
26,23
22,23
25,23
23,23
19,23
23,23
21,23
16,23
23,23
23,23
27,23
22,23
22,23
22,23
15,23
23,23
21,23
22,23
23,23
22,23
23,23
24,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
25,23
24,23
16,23
23,23
23,23
23,23
23,23
22,23
24,23
22,23
22,23
15,23
23,23
12,23
23,23
32,23
23,23
23,23
30,23
24,23
23,23
22,23
21,23
23,23
18,23
11,23
24,23
22,23
23,23
23,23
24,23
24,23
21,23
23,23
17,23
25,23
22,23
23,23
25,23
23,23
23,23
21,23
23,23
26,23
22,23
20,23
22,23
23,23
25,23
23,23
23,23
23,23
22,23
23,23
22,23
21,23
23,23
22,23
23,23
23,23
22,23
23,23
23,23
21,23
22,23
23,23
13,23
23,23
18,23
23,23
23,23
18,23
23,23
23,23
23,23
13,23
20,23
17,23
23,23
21,23
21,23
22,23
23,23
23,23
24,23
21,23
23,23
15,23
22,23
25,23
21,23
23,23
22,23
23,23
23,23
25,23
23,23
23,23
25,23
21,23
24,23
23,23
24,23
22,23
22,23
12,23
25,23
22,23
14,18
22,18
18,18
16,18
18,18
17,18
18,18
18,18
17,18
19,18
18,18
18,18
17,18
27,18
15,18
17,18
19,18
17,18
18,18
17,18
18,18
18,18
19,18
18,18
27,18
18,18
18,18
17,18
23,18
21,18
15,18
18,18
22,18
18,18
16,18
18,18
20,18
17,18
20,18
18,18
18,18
19,18
18,18
18,18
16,18
17,18
13,18
18,18
17,18
18,18
18,18
16,18
18,18
18,18
16,18
18,18
23,18
17,18
18,18
17,18
18,18
19,18
16,18
12,18
17,18
13,18
18,18
18,18
18,18
14,18
18,18
18,18
14,18
14,18
14,18
18,18
21,18
18,18
20,18
10,18
28,18
18,18
17,18
18,18
18,18
15,18
20,18
13,18
18,18
15,18
16,18
21,18
18,18
19,18
13,18
18,18
17,18
27,18
9,18
21,18
20,18
18,18
18,18
18,18
10,18
18,18
18,18
18,18
18,18
15,18
18,18
15,18
12,18
21,18
19,18
16,18
19,18
18,18
18,18
14,18
18,18
17,18
18,18
15,18
19,18
18,18
17,18
18,18
17,18
13,18
18,18
18,18
18,18
15,18
19,18
21,18
17,18
16,18
18,18
18,18
18,18
15,18
17,18
12,18
20,18
21,18
18,18
10,18
18,18
18,18
19,18
12,18
15,18
18,18
9,18
22,18
21,18
18,18
18,18
16,18
16,18
12,18
18,18
18,18
