Predicted Value,True Value
31,28
17,28
32,28
18,28
32,28
26,28
27,28
15,28
31,28
13,28
20,28
27,28
25,28
15,28
12,28
12,28
32,28
29,28
20,28
28,28
26,28
15,28
21,28
31,28
28,28
17,28
27,28
16,28
25,28
24,28
32,28
24,28
22,28
32,28
32,28
31,28
26,28
33,28
18,28
16,28
17,28
25,28
27,28
29,28
27,28
23,28
30,28
33,28
25,28
25,28
32,28
20,28
25,28
33,28
18,28
31,28
31,28
24,28
10,28
32,28
11,28
11,28
13,28
32,28
32,28
13,28
19,28
22,28
19,28
7,28
27,28
24,28
19,28
20,28
20,28
28,28
30,28
21,28
26,28
31,28
32,28
23,28
30,28
32,28
17,28
18,28
22,28
16,28
15,28
17,28
17,28
18,28
16,28
27,28
16,28
18,28
17,28
33,28
27,28
24,28
20,28
23,28
17,28
13,28
16,28
17,28
32,28
22,28
28,28
28,28
22,28
29,28
14,28
28,28
20,28
22,28
13,28
21,28
29,28
16,28
17,28
29,28
17,28
26,28
9,28
15,28
18,28
14,28
13,28
25,28
24,28
27,28
17,28
25,28
27,28
16,28
13,28
27,28
24,28
25,28
32,28
29,28
22,28
31,28
18,28
23,28
32,28
25,28
30,28
23,28
32,28
30,28
23,28
25,28
24,28
21,28
30,28
28,28
17,28
21,28
26,28
27,28
15,28
25,28
17,28
18,28
32,28
24,28
20,28
25,28
26,28
19,28
18,28
26,28
31,28
22,28
26,28
15,28
23,28
16,28
32,28
17,28
10,28
18,28
29,28
16,28
15,28
20,28
30,28
22,28
28,28
17,28
14,28
32,28
31,28
17,28
14,28
13,28
20,28
25,28
17,28
16,28
32,28
33,28
27,28
28,28
22,28
31,28
25,28
25,28
28,28
32,28
20,28
25,28
26,28
32,28
25,28
31,28
24,28
27,28
17,28
29,28
23,28
11,28
28,28
26,28
13,28
15,28
28,28
20,28
28,28
28,28
15,28
16,28
18,28
15,28
16,28
31,28
30,28
31,28
32,28
32,28
30,28
21,28
15,28
13,28
10,28
7,28
17,28
28,28
22,28
15,28
20,28
15,28
23,28
31,28
26,28
2,28
19,28
27,28
30,28
21,28
8,28
22,28
18,28
18,28
21,28
18,28
12,28
19,28
24,28
13,28
12,28
32,28
29,28
26,28
29,28
21,28
30,28
18,28
30,28
30,28
27,28
21,28
22,28
31,28
25,28
31,28
28,28
30,28
24,28
14,28
23,28
23,28
24,28
26,28
29,28
18,28
20,28
23,28
17,28
13,28
19,28
14,28
29,28
31,28
30,28
15,28
28,28
29,28
9,28
14,28
28,28
26,28
31,28
18,28
15,28
28,28
29,28
29,28
29,28
32,28
14,28
31,28
19,28
26,28
24,28
29,28
27,28
24,28
18,28
27,28
32,28
30,32
18,32
26,32
30,32
33,32
12,32
21,32
32,32
31,32
27,32
27,32
16,32
33,32
16,32
30,32
32,32
3,32
26,32
26,32
12,32
33,32
12,32
12,32
30,32
16,32
23,32
34,32
26,32
20,32
32,32
32,32
16,32
31,32
30,32
30,32
17,32
21,32
19,32
18,32
27,32
26,32
18,32
25,32
15,32
29,32
28,32
32,32
27,32
19,32
32,32
23,32
27,32
31,32
24,32
33,32
28,32
27,32
25,32
16,32
25,32
16,32
21,32
14,32
31,32
22,32
32,32
32,32
15,32
28,32
33,32
24,32
32,32
13,32
28,32
23,32
18,32
32,32
27,32
32,32
27,32
29,32
24,32
19,32
32,32
15,32
18,32
26,32
28,32
25,32
26,32
28,32
32,32
30,32
32,32
32,32
32,32
31,32
15,32
24,32
29,32
22,32
27,32
19,32
23,32
15,32
31,32
32,32
16,32
18,32
22,32
28,32
32,32
26,32
28,32
26,32
32,32
30,32
33,32
33,32
30,32
20,32
30,32
21,32
30,32
15,32
9,32
31,32
31,32
31,32
33,32
22,32
22,32
29,32
8,32
25,32
13,32
28,32
18,32
14,32
30,32
33,32
23,32
22,32
15,32
18,32
23,32
23,32
22,32
27,32
22,32
16,32
33,32
29,32
23,32
30,32
24,32
29,32
16,32
25,32
32,32
32,32
