Predicted Value,True Value
28,28
27,28
27,28
28,28
28,28
28,28
28,28
15,28
18,28
28,28
27,28
28,28
28,28
28,28
28,28
27,28
28,28
28,28
27,28
28,28
23,28
27,28
30,28
28,28
29,28
28,28
28,28
21,28
23,28
28,28
26,28
27,28
28,28
28,28
30,28
28,28
22,28
28,28
24,28
28,28
28,28
27,28
28,28
31,28
29,28
27,28
28,28
28,28
28,28
18,28
28,28
21,28
28,28
31,28
23,28
28,28
28,28
28,28
28,28
28,28
28,28
13,28
26,28
30,28
28,28
27,28
28,28
23,28
28,28
28,28
32,28
25,28
26,28
28,28
30,28
28,28
17,28
28,28
18,28
28,28
28,28
30,28
25,28
28,28
31,28
21,28
28,28
27,28
29,28
28,28
28,28
28,28
23,28
28,28
24,28
18,28
9,28
28,28
28,28
28,28
24,28
25,28
28,28
25,28
28,28
30,28
31,28
31,28
28,28
29,28
27,28
28,28
24,28
28,28
25,28
28,28
26,28
28,28
29,28
16,28
26,28
30,28
16,28
27,28
27,28
27,28
26,28
24,28
27,28
27,28
25,28
27,28
22,28
28,28
26,28
27,28
28,28
28,28
29,28
28,28
31,28
30,28
27,28
30,28
25,28
19,28
28,28
28,28
28,28
19,28
21,28
28,28
19,28
29,28
28,28
18,28
28,28
28,28
28,28
28,28
26,28
25,28
28,28
27,28
28,28
28,28
31,28
27,28
28,28
21,28
29,28
30,28
28,28
26,28
28,28
27,28
28,28
21,28
25,28
26,28
28,28
16,28
28,28
28,28
27,28
28,28
27,28
28,28
24,28
24,28
24,28
28,28
27,28
28,28
28,28
28,28
27,28
28,28
24,28
29,28
28,28
28,28
28,28
28,28
27,28
28,28
28,28
28,28
28,28
29,28
28,28
27,28
29,28
28,28
30,28
28,28
28,28
25,28
22,28
27,28
28,28
28,28
25,28
16,28
28,28
28,28
28,28
28,28
23,28
31,28
28,28
27,28
25,28
22,28
27,28
25,28
28,28
28,28
28,28
18,28
28,28
28,28
28,28
28,28
30,28
31,28
28,28
28,28
24,28
28,28
26,28
26,28
17,28
31,28
28,28
20,28
28,28
28,28
21,28
28,28
28,28
28,28
14,28
28,28
27,28
28,28
28,28
28,28
28,28
28,28
28,28
28,28
28,28
31,28
29,28
28,28
28,28
14,28
16,28
28,28
28,28
28,28
27,28
18,28
28,28
28,28
23,28
23,28
23,28
22,28
30,28
28,28
28,28
27,28
28,28
29,28
28,28
27,28
28,28
28,28
13,28
27,28
28,28
28,28
29,28
28,28
32,28
14,28
25,28
32,28
28,28
26,28
28,28
21,28
20,28
28,28
27,28
27,28
28,28
28,28
28,28
28,28
28,28
28,28
28,28
21,28
28,28
28,28
22,28
28,28
28,28
28,28
29,28
32,32
32,32
30,32
32,32
32,32
17,32
23,32
32,32
32,32
24,32
31,32
32,32
32,32
32,32
32,32
24,32
31,32
32,32
26,32
31,32
32,32
30,32
33,32
32,32
29,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
34,32
32,32
21,32
32,32
31,32
32,32
32,32
29,32
32,32
30,32
31,32
32,32
32,32
29,32
28,32
28,32
33,32
31,32
32,32
15,32
32,32
31,32
32,32
31,32
32,32
31,32
32,32
31,32
32,32
32,32
32,32
32,32
31,32
32,32
32,32
32,32
34,32
32,32
31,32
19,32
31,32
32,32
32,32
32,32
32,32
31,32
32,32
32,32
12,32
31,32
29,32
16,32
32,32
31,32
21,32
26,32
29,32
32,32
30,32
32,32
32,32
31,32
31,32
30,32
32,32
32,32
29,32
32,32
32,32
26,32
33,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
29,32
32,32
32,32
32,32
33,32
32,32
32,32
32,32
31,32
32,32
32,32
31,32
32,32
32,32
32,32
28,32
29,32
23,32
18,32
32,32
32,32
26,32
29,32
33,32
32,32
27,32
27,32
32,32
31,32
30,32
32,32
28,32
19,32
32,32
31,32
32,32
32,32
32,32
32,32
30,32
32,32
33,32
32,32
32,32
31,32
32,32
33,32
32,32
33,32
29,32
32,32
31,32
32,32
32,32
32,32
32,32
31,32
29,32
33,32
32,32
32,32
10,32
32,32
31,32
31,32
32,32
31,32
32,32
32,32
32,32
32,32
32,32
33,32
32,32
32,32
31,32
32,32
20,32
24,32
32,32
30,32
32,32
29,32
11,32
32,32
32,32
28,32
32,32
32,32
30,32
32,32
32,32
32,32
32,32
31,32
32,32
32,32
32,32
32,32
31,32
32,32
29,32
28,32
32,32
32,32
32,32
24,32
30,32
32,32
23,32
32,32
24,32
29,32
32,32
32,32
32,32
32,32
26,32
32,32
30,32
32,32
27,32
32,32
31,32
23,32
32,32
31,32
32,32
32,32
32,32
17,23
23,23
23,23
23,23
23,23
25,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
24,23
22,23
23,23
24,23
23,23
23,23
15,23
23,23
22,23
22,23
23,23
23,23
23,23
22,23
22,23
23,23
27,23
23,23
26,23
19,23
18,23
23,23
31,23
23,23
21,23
22,23
15,23
23,23
23,23
23,23
23,23
21,23
23,23
10,23
23,23
23,23
23,23
23,23
21,23
21,23
15,23
23,23
22,23
25,23
15,23
23,23
23,23
25,23
23,23
23,23
23,23
21,23
20,23
22,23
21,23
21,23
22,23
24,23
22,23
23,23
17,23
23,23
19,23
23,23
23,23
25,23
22,23
22,23
23,23
23,23
22,23
22,23
23,23
22,23
23,23
16,23
20,23
23,23
24,23
21,23
23,23
23,23
23,23
24,23
23,23
20,23
27,23
22,23
25,23
23,23
23,23
23,23
22,23
15,23
23,23
23,23
23,23
22,23
22,23
23,23
22,23
22,23
21,23
21,23
23,23
23,23
23,23
24,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
26,23
16,23
16,23
23,23
23,23
23,23
23,23
22,23
23,23
22,23
21,23
15,23
23,23
15,23
23,23
31,23
23,23
23,23
23,23
24,23
23,23
23,23
25,23
22,23
18,23
18,23
23,23
22,23
23,23
26,23
23,23
24,23
23,23
24,23
19,23
23,23
22,23
23,23
23,23
23,23
23,23
23,23
23,23
26,23
19,23
21,23
21,23
23,23
24,23
24,23
23,23
23,23
23,23
23,23
22,23
22,23
23,23
22,23
23,23
23,23
21,23
23,23
22,23
21,23
22,23
22,23
16,23
23,23
16,23
23,23
23,23
19,23
23,23
23,23
23,23
16,23
21,23
20,23
23,23
22,23
20,23
23,23
23,23
20,23
23,23
22,23
23,23
23,23
22,23
25,23
22,23
23,23
22,23
25,23
23,23
25,23
23,23
23,23
25,23
22,23
25,23
23,23
23,23
21,23
22,23
13,23
24,23
23,23
15,18
18,18
18,18
15,18
18,18
16,18
18,18
18,18
17,18
18,18
18,18
18,18
18,18
23,18
15,18
16,18
26,18
17,18
18,18
16,18
18,18
20,18
18,18
18,18
19,18
18,18
18,18
18,18
18,18
20,18
15,18
17,18
21,18
19,18
15,18
18,18
20,18
18,18
20,18
18,18
18,18
12,18
19,18
18,18
16,18
18,18
10,18
17,18
17,18
18,18
17,18
13,18
19,18
18,18
17,18
17,18
23,18
18,18
18,18
17,18
17,18
14,18
16,18
12,18
16,18
14,18
18,18
18,18
18,18
17,18
17,18
18,18
15,18
17,18
14,18
18,18
19,18
18,18
24,18
8,18
22,18
18,18
17,18
18,18
18,18
18,18
18,18
15,18
18,18
16,18
16,18
18,18
18,18
19,18
15,18
18,18
17,18
17,18
8,18
20,18
19,18
18,18
19,18
14,18
17,18
17,18
19,18
18,18
18,18
13,18
18,18
15,18
15,18
22,18
18,18
15,18
18,18
18,18
17,18
14,18
18,18
17,18
18,18
15,18
22,18
17,18
15,18
18,18
16,18
13,18
17,18
18,18
18,18
16,18
18,18
18,18
17,18
16,18
18,18
17,18
18,18
15,18
17,18
15,18
18,18
21,18
17,18
12,18
20,18
18,18
22,18
12,18
14,18
18,18
11,18
18,18
14,18
18,18
18,18
17,18
17,18
21,18
18,18
18,18
20,18
18,18
21,18
24,18
18,18
18,18
20,18
17,18
17,18
17,18
22,18
18,18
18,18
17,18
16,18
18,18
18,18
15,18
18,18
19,18
18,18
21,18
14,18
18,18
18,18
18,18
19,18
18,18
18,18
0,18
32,18
21,18
18,18
18,18
17,18
17,18
22,18
21,18
11,18
19,18
18,18
16,18
19,18
12,18
18,18
17,18
18,18
17,18
18,18
18,18
14,18
18,18
18,18
18,18
18,18
16,18
17,18
15,18
16,18
14,18
24,18
18,18
18,18
18,18
19,18
13,18
18,18
19,18
17,18
16,18
19,18
17,18
16,18
18,18
16,18
20,18
18,18
18,18
18,18
18,18
18,18
20,18
16,18
18,18
20,18
15,18
18,18
18,18
17,18
18,18
17,18
18,18
14,18
18,18
18,18
18,18
13,18
30,18
18,18
16,18
18,18
12,18
18,18
18,18
19,18
15,18
21,18
18,18
18,18
18,18
21,18
18,18
18,18
16,18
22,18
18,18
19,18
18,18
21,18
18,18
18,18
16,18
18,18
12,18
20,18
15,18
20,18
18,18
18,18
17,18
18,18
16,18
15,18
21,18
18,18
16,18
14,18
18,18
18,18
14,18
18,18
18,18
18,18
17,18
18,18
18,18
15,18
18,18
18,18
20,18
28,18
15,18
24,18
17,18
18,18
19,18
17,18
20,18
18,18
18,18
19,18
27,18
14,18
10,18
21,18
18,18
18,18
17,18
15,18
18,18
13,18
17,18
18,18
18,18
18,18
20,18
17,18
17,18
18,18
9,18
16,18
18,18
17,18
18,18
18,18
0,18
19,18
18,18
14,18
17,18
17,18
28,18
18,18
17,18
18,18
20,18
17,18
19,18
17,18
14,18
18,18
18,18
18,18
18,18
19,18
32,18
19,18
29,18
20,18
18,18
16,18
16,18
19,18
25,18
18,18
15,18
18,18
18,18
18,18
19,18
18,18
17,18
17,18
18,18
15,18
17,18
18,18
18,18
10,18
18,18
18,18
14,18
18,18
11,18
13,18
18,18
17,18
15,18
13,18
18,18
15,18
17,18
11,18
19,18
20,18
18,18
11,18
19,18
18,18
22,18
18,18
16,18
17,18
16,18
17,18
18,18
16,18
18,18
18,18
18,18
15,18
18,18
19,18
19,18
18,18
18,18
16,18
13,18
18,18
19,18
18,18
18,18
18,18
19,18
18,18
22,18
17,18
18,18
17,18
18,18
18,18
18,18
28,18
18,18
18,18
17,18
18,18
19,18
21,18
14,18
18,18
18,18
18,18
16,18
15,18
19,18
19,18
17,18
17,18
19,18
17,18
16,18
18,18
17,18
19,18
18,18
18,18
19,18
21,18
17,18
18,18
17,18
18,18
18,18
15,18
19,18
18,18
19,18
22,18
18,18
18,18
16,18
18,18
18,18
18,18
18,18
18,18
18,18
15,18
18,18
17,18
18,18
21,18
17,18
15,18
13,18
17,18
15,18
21,18
25,18
16,18
18,18
19,18
17,18
18,18
18,18
21,18
14,18
19,18
17,18
20,18
18,18
18,18
16,18
18,18
16,18
18,18
14,18
18,18
18,18
16,18
11,18
15,18
14,18
14,18
19,18
19,18
14,18
19,18
15,18
20,18
16,18
18,18
18,18
19,18
17,18
16,18
18,18
15,18
16,18
18,18
18,18
18,18
20,18
16,18
18,18
14,18
18,18
20,18
17,18
18,18
18,18
18,18
18,18
19,18
18,18
16,18
18,18
20,18
19,18
17,18
16,18
15,18
17,18
19,18
19,18
21,18
18,18
21,18
18,18
17,18
6,18
17,18
22,18
17,18
17,18
18,18
15,18
16,18
22,18
18,18
18,18
18,18
18,18
18,18
18,18
21,18
18,18
12,18
18,18
19,18
18,18
17,18
18,18
18,18
18,18
19,18
18,18
17,18
17,18
17,18
18,18
17,18
18,18
9,18
18,18
18,18
16,18
18,18
18,18
13,18
17,18
21,18
18,18
17,18
24,18
17,18
18,18
25,18
12,18
18,18
18,18
18,18
17,18
17,18
24,18
17,18
15,18
16,18
16,18
15,18
11,18
18,18
17,18
18,18
18,18
15,18
17,18
23,18
13,18
23,18
18,18
17,18
21,18
18,18
17,18
18,18
23,18
16,18
21,18
18,18
18,18
13,18
18,18
18,18
10,18
18,18
18,18
18,18
22,18
16,18
18,18
17,18
18,18
