Predicted Value,True Value
28,28
28,28
27,28
28,28
28,28
28,28
28,28
26,28
17,28
28,28
24,28
28,28
28,28
28,28
28,28
28,28
31,28
28,28
27,28
28,28
26,28
28,28
31,28
28,28
29,28
28,28
28,28
28,28
25,28
28,28
28,28
28,28
28,28
28,28
29,28
27,28
28,28
28,28
28,28
28,28
28,28
27,28
28,28
25,28
28,28
29,28
28,28
28,28
28,28
17,28
28,28
22,28
28,28
29,28
28,28
28,28
28,28
24,28
14,28
28,28
28,28
15,28
28,28
30,28
31,28
28,28
28,28
21,28
28,28
28,28
32,28
28,28
28,28
28,28
31,28
28,28
26,28
26,28
23,28
28,28
28,28
31,28
25,28
28,28
28,28
21,28
28,28
28,28
28,28
28,28
28,28
28,28
28,28
27,28
28,28
28,28
28,28
28,28
28,28
28,28
28,28
31,28
28,28
13,28
28,28
28,28
28,28
32,28
28,28
28,28
26,28
28,28
28,28
28,28
28,28
28,28
28,28
28,28
28,28
28,28
26,28
26,28
28,28
28,28
28,28
27,28
26,28
28,28
28,28
29,28
30,28
28,28
28,28
28,28
28,28
28,28
28,28
28,28
29,28
28,28
30,28
29,28
25,28
32,28
26,28
17,28
28,28
28,28
28,28
28,28
20,28
28,28
16,28
27,28
28,28
19,28
28,28
28,28
27,28
28,28
26,28
28,28
28,28
28,28
28,28
28,28
29,28
26,28
28,28
28,28
31,28
28,28
28,28
27,28
28,28
28,28
28,28
28,28
27,28
30,28
28,28
16,28
28,28
20,28
28,28
28,28
29,28
28,28
24,28
27,28
28,28
28,28
28,28
28,28
28,28
28,28
26,28
28,28
28,28
28,28
28,28
28,28
28,28
28,28
28,28
28,28
28,28
28,28
28,28
30,28
26,28
28,28
28,28
28,28
25,28
28,28
28,28
28,28
24,28
28,28
28,28
28,28
25,28
24,28
28,28
28,28
28,28
28,28
27,28
31,28
28,28
27,28
27,28
22,28
28,28
26,28
28,28
28,28
28,28
27,28
28,28
28,28
28,28
28,28
28,28
29,28
26,28
28,28
23,28
28,28
26,28
28,28
15,28
31,28
30,28
22,28
28,28
28,28
28,28
28,28
28,28
28,28
10,28
28,28
29,28
23,28
28,28
28,28
28,28
30,28
28,28
12,28
28,28
31,28
28,28
28,28
28,28
14,28
28,28
28,28
30,28
28,28
25,28
18,28
28,28
28,28
19,28
31,28
28,28
22,28
30,28
28,28
21,28
27,28
28,28
28,28
28,28
28,28
28,28
28,28
16,28
27,28
28,28
28,28
28,28
28,28
32,28
15,28
27,28
26,28
28,28
28,28
27,28
25,28
28,28
28,28
28,28
27,28
28,28
28,28
28,28
28,28
28,28
28,28
28,28
28,28
28,28
31,28
28,28
28,28
28,28
28,28
29,28
32,32
32,32
33,32
32,32
32,32
18,32
32,32
32,32
33,32
32,32
32,32
32,32
32,32
31,32
32,32
31,32
32,32
32,32
26,32
32,32
33,32
28,32
33,32
32,32
32,32
32,32
31,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
33,32
32,32
16,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
28,32
33,32
32,32
31,32
16,32
32,32
32,32
32,32
31,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
26,32
32,32
32,32
32,32
32,32
31,32
32,32
32,32
32,32
16,32
31,32
32,32
15,32
32,32
31,32
31,32
25,32
29,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
33,32
32,32
32,32
33,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
31,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
31,32
29,32
32,32
33,32
32,32
32,32
32,32
32,32
32,32
33,32
32,32
32,32
32,32
32,32
32,32
31,32
32,32
32,32
17,32
32,32
32,32
32,32
32,32
32,32
33,32
31,32
32,32
33,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
29,32
32,32
31,32
32,32
32,32
32,32
32,32
32,32
28,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
31,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
17,32
32,32
32,32
33,32
32,32
19,32
11,32
32,32
32,32
31,32
32,32
32,32
32,32
26,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
31,32
32,32
32,32
32,32
32,32
24,32
32,32
31,32
32,32
32,32
31,32
24,32
31,32
32,32
32,32
32,32
32,32
32,32
31,32
32,32
28,32
33,32
31,32
32,32
31,32
32,32
31,32
31,32
32,32
16,23
23,23
23,23
23,23
23,23
25,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
22,23
23,23
23,23
23,23
23,23
22,23
23,23
23,23
23,23
23,23
28,23
23,23
21,23
23,23
23,23
23,23
23,23
23,23
19,23
23,23
23,23
23,23
23,23
25,23
23,23
11,23
23,23
23,23
22,23
23,23
23,23
20,23
15,23
23,23
24,23
25,23
19,23
24,23
24,23
23,23
23,23
23,23
23,23
23,23
21,23
22,23
22,23
20,23
23,23
24,23
23,23
23,23
21,23
23,23
18,23
23,23
23,23
23,23
22,23
21,23
23,23
23,23
23,23
21,23
23,23
21,23
23,23
22,23
17,23
26,23
23,23
22,23
23,23
23,23
23,23
24,23
23,23
23,23
30,23
23,23
23,23
23,23
17,23
23,23
23,23
17,23
23,23
23,23
23,23
18,23
23,23
23,23
23,23
23,23
18,23
13,23
23,23
23,23
23,23
24,23
23,23
23,23
23,23
23,23
23,23
23,23
22,23
23,23
23,23
16,23
23,23
23,23
23,23
23,23
23,23
23,23
22,23
22,23
15,23
23,23
21,23
23,23
32,23
23,23
23,23
23,23
24,23
23,23
23,23
21,23
23,23
18,23
23,23
23,23
23,23
23,23
25,23
23,23
24,23
25,23
23,23
22,23
23,23
23,23
15,23
23,23
23,23
23,23
23,23
23,23
26,23
18,23
23,23
21,23
23,23
23,23
22,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
22,23
23,23
24,23
21,23
23,23
26,23
23,23
22,23
22,23
14,23
23,23
24,23
23,23
23,23
20,23
23,23
23,23
23,23
14,23
23,23
23,23
23,23
23,23
22,23
24,23
23,23
15,23
23,23
16,23
23,23
23,23
21,23
22,23
24,23
23,23
23,23
23,23
24,23
25,23
23,23
23,23
27,23
23,23
27,23
23,23
23,23
21,23
23,23
21,23
22,23
23,23
16,18
28,18
18,18
15,18
18,18
11,18
18,18
18,18
17,18
18,18
18,18
15,18
16,18
18,18
21,18
18,18
24,18
18,18
18,18
18,18
18,18
18,18
19,18
18,18
18,18
18,18
18,18
17,18
19,18
21,18
18,18
19,18
18,18
32,18
16,18
18,18
19,18
17,18
18,18
18,18
18,18
22,18
18,18
18,18
16,18
17,18
18,18
18,18
17,18
18,18
18,18
15,18
17,18
18,18
16,18
18,18
21,18
18,18
18,18
16,18
18,18
15,18
14,18
14,18
18,18
18,18
18,18
18,18
18,18
18,18
18,18
18,18
18,18
17,18
14,18
18,18
18,18
18,18
18,18
12,18
18,18
18,18
22,18
18,18
19,18
18,18
19,18
18,18
18,18
17,18
18,18
22,18
18,18
15,18
18,18
18,18
18,18
16,18
11,18
18,18
18,18
18,18
18,18
19,18
18,18
16,18
18,18
18,18
18,18
17,18
18,18
14,18
18,18
16,18
